0.680 ± 0.050,68.021 ± 4.908
0.681 ± 0.042,67.646 ± 4.258
0.693 ± 0.037,69.174 ± 3.145
0.717 ± 0.008,71.623 ± 1.888
0.718 ± 0.007,71.393 ± 2.070
0.716 ± 0.010,71.182 ± 2.063
0.728 ± 0.011,72.402 ± 1.946
0.724 ± 0.009,72.027 ± 1.871
0.717 ± 0.008,71.575 ± 1.772
0.607 ± 0.056,59.981 ± 5.236
0.664 ± 0.026,65.985 ± 2.053
0.679 ± 0.027,67.646 ± 2.852
0.617 ± 0.064,60.749 ± 6.384
0.673 ± 0.057,67.051 ± 5.578
0.697 ± 0.018,69.356 ± 2.130
0.633 ± 0.035,62.988 ± 3.319
0.676 ± 0.020,67.627 ± 2.396
0.678 ± 0.017,67.541 ± 1.989
0.661 ± 0.024,65.610 ± 2.001
0.680 ± 0.034,67.915 ± 3.281
0.687 ± 0.023,68.463 ± 2.261
0.654 ± 0.022,65.159 ± 2.573
0.669 ± 0.025,66.388 ± 2.659
0.691 ± 0.015,68.857 ± 2.238
0.684 ± 0.016,67.560 ± 2.842
0.693 ± 0.024,69.126 ± 2.223
0.695 ± 0.021,68.838 ± 2.518
0.664 ± 0.017,66.234 ± 1.534
0.686 ± 0.017,68.031 ± 2.272
0.696 ± 0.014,69.260 ± 2.260
0.692 ± 0.028,68.847 ± 2.723
0.701 ± 0.015,69.597 ± 1.455
0.702 ± 0.014,69.635 ± 2.007
0.558 ± 0.049,55.850 ± 3.511
0.634 ± 0.026,63.401 ± 2.858
0.679 ± 0.018,67.464 ± 2.546
0.549 ± 0.093,54.304 ± 9.431
0.666 ± 0.068,66.215 ± 6.315
0.700 ± 0.022,69.721 ± 2.607
0.589 ± 0.030,59.097 ± 3.567
0.629 ± 0.026,62.651 ± 2.712
0.669 ± 0.016,65.994 ± 2.911
0.657 ± 0.039,65.303 ± 3.484
0.690 ± 0.010,68.751 ± 2.448
0.694 ± 0.018,69.107 ± 2.293
0.597 ± 0.014,59.385 ± 1.830
0.617 ± 0.020,61.143 ± 3.096
0.650 ± 0.016,64.217 ± 2.532
0.664 ± 0.018,65.927 ± 2.740
0.688 ± 0.021,68.607 ± 2.370
0.690 ± 0.018,68.290 ± 2.357
0.618 ± 0.017,61.354 ± 2.108
0.622 ± 0.017,61.950 ± 2.415
0.649 ± 0.019,64.217 ± 2.356
0.663 ± 0.011,66.033 ± 2.108
0.667 ± 0.018,66.724 ± 2.541
0.682 ± 0.010,68.060 ± 1.993
0.452 ± 0.046,45.437 ± 4.616
0.454 ± 0.085,45.389 ± 8.806
0.602 ± 0.088,59.472 ± 7.802
0.463 ± 0.053,46.340 ± 5.230
0.460 ± 0.054,46.744 ± 5.036
0.598 ± 0.097,59.616 ± 9.590
0.552 ± 0.035,55.648 ± 3.982
0.560 ± 0.022,56.282 ± 3.058
0.625 ± 0.046,62.555 ± 4.315
0.595 ± 0.049,58.588 ± 5.304
0.619 ± 0.056,61.652 ± 6.034
0.679 ± 0.016,67.800 ± 2.636
0.609 ± 0.014,61.162 ± 2.578
0.644 ± 0.023,63.862 ± 2.865
0.672 ± 0.016,66.974 ± 2.407
0.660 ± 0.023,65.389 ± 3.074
0.676 ± 0.028,67.118 ± 3.237
0.694 ± 0.016,68.866 ± 2.704
0.670 ± 0.016,66.695 ± 1.628
0.692 ± 0.012,68.396 ± 1.697
0.700 ± 0.011,69.597 ± 1.643
0.696 ± 0.017,69.193 ± 2.222
0.707 ± 0.013,70.221 ± 1.983
0.710 ± 0.010,70.903 ± 1.970
0.539 ± 0.047,54.044 ± 4.710
0.601 ± 0.049,60.086 ± 5.015
0.664 ± 0.032,66.350 ± 2.960
0.478 ± 0.069,47.858 ± 6.410
0.567 ± 0.100,56.926 ± 9.338
0.648 ± 0.097,64.409 ± 9.092
0.580 ± 0.029,57.983 ± 3.313
0.621 ± 0.032,62.142 ± 3.891
0.671 ± 0.019,66.590 ± 2.492
0.630 ± 0.042,62.488 ± 4.541
0.676 ± 0.031,67.195 ± 3.032
0.690 ± 0.017,68.838 ± 2.468
